,date_time,Appliances
0,2016-01-11 17:00:00,60
1,2016-01-11 17:10:00,60
2,2016-01-11 17:20:00,50
3,2016-01-11 17:30:00,50
4,2016-01-11 17:40:00,60
5,2016-01-11 17:50:00,50
6,2016-01-11 18:00:00,60
7,2016-01-11 18:10:00,60
8,2016-01-11 18:20:00,60
9,2016-01-11 18:30:00,70
10,2016-01-11 18:40:00,230
11,2016-01-11 18:50:00,580
12,2016-01-11 19:00:00,430
13,2016-01-11 19:10:00,250
14,2016-01-11 19:20:00,100
15,2016-01-11 19:30:00,100
16,2016-01-11 19:40:00,90
17,2016-01-11 19:50:00,70
18,2016-01-11 20:00:00,80
19,2016-01-11 20:10:00,140
20,2016-01-11 20:20:00,120
21,2016-01-11 20:30:00,190
22,2016-01-11 20:40:00,110
23,2016-01-11 20:50:00,110
24,2016-01-11 21:00:00,110
25,2016-01-11 21:10:00,110
26,2016-01-11 21:20:00,100
27,2016-01-11 21:30:00,100
28,2016-01-11 21:40:00,100
29,2016-01-11 21:50:00,100
30,2016-01-11 22:00:00,110
31,2016-01-11 22:10:00,400
32,2016-01-11 22:20:00,400
33,2016-01-11 22:30:00,390
34,2016-01-11 22:40:00,240
35,2016-01-11 22:50:00,60
36,2016-01-11 23:00:00,60
37,2016-01-11 23:10:00,60
38,2016-01-11 23:20:00,50
39,2016-01-11 23:30:00,70
40,2016-01-11 23:40:00,60
41,2016-01-11 23:50:00,40
42,2016-01-12 00:00:00,40
43,2016-01-12 00:10:00,30
44,2016-01-12 00:20:00,40
45,2016-01-12 00:30:00,50
46,2016-01-12 00:40:00,310
47,2016-01-12 00:50:00,380
48,2016-01-12 01:00:00,380
49,2016-01-12 01:10:00,370
50,2016-01-12 01:20:00,120
51,2016-01-12 01:30:00,50
52,2016-01-12 01:40:00,40
53,2016-01-12 01:50:00,50
54,2016-01-12 02:00:00,40
55,2016-01-12 02:10:00,50
56,2016-01-12 02:20:00,50
57,2016-01-12 02:30:00,50
58,2016-01-12 02:40:00,40
59,2016-01-12 02:50:00,40
60,2016-01-12 03:00:00,30
61,2016-01-12 03:10:00,20
62,2016-01-12 03:20:00,20
63,2016-01-12 03:30:00,40
